PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000012779.6.wgt.RDat	ALOX5	10	4.59e+07	4.59e+07	0.193973	rs11239274	-3.48	rs17157736	 8.35e-02	  5.53	-0.30996	348	348	blup	 9.57e-02	1.81e-06	 0.34465	7.30e-01
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000014919.8.wgt.RDat	COX15	10	1.01e+08	1.01e+08	0.055033	NA	   NA	NA	       NA	    NA	      NA	  0	  0	enet	 2.38e-03	2.19e-01	      NA	      NA
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000019995.6.wgt.RDat	ZRANB1	10	1.27e+08	1.27e+08	0.003366	rs2061069	-2.80	rs11245401	-3.84e-03	  3.04	-1.32159	541	541	blup	-1.47e-03	4.11e-01	-0.78631	4.32e-01
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.119665	rs545572	-3.87	rs11195939	 4.37e-02	 -4.42	 1.98726	444	444	blup	 3.92e-02	1.89e-03	-0.55191	5.81e-01
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000023839.6.wgt.RDat	ABCC2	10	1.02e+08	1.02e+08	0.007196	NA	   NA	NA	       NA	    NA	      NA	  0	  0	lasso	 2.62e-02	9.47e-03	      NA	      NA
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.040476	rs4748330	 3.38	rs3780979	 2.09e-02	 -3.63	-0.85376	659	  1	lasso	 1.48e-02	4.00e-02	 0.85375	3.93e-01
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000026103.15.wgt.RDat	FAS	10	9.08e+07	9.08e+07	0.001452	rs1372325	 2.54	rs7097572	 3.50e-03	 -2.79	-1.74372	572	572	blup	-1.84e-03	4.40e-01	 0.04252	9.66e-01
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000035403.12.wgt.RDat	VCL	10	7.58e+07	7.59e+07	0.189884	rs4746172	-2.55	rs12413620	 9.43e-03	  3.48	 0.69966	242	  2	lasso	 1.81e-02	2.61e-02	 0.79095	4.29e-01
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000042286.10.wgt.RDat	AIFM2	10	7.19e+07	7.19e+07	0.256943	rs12412099	-3.73	rs3829179	-3.77e-03	 -3.73	-0.32857	727	727	blup	 4.67e-02	7.53e-04	 2.02501	4.29e-02
Pancreas	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Pancreas/Pancreas.ENSG00000043591.4.wgt.RDat	ADRB1	10	1.16e+08	1.16e+08	0.334141	rs2475239	 2.71	rs11196589	 1.60e-01	  6.08	-0.76214	561	  5	lasso	 1.29e-01	2.77e-08	-1.30285	1.93e-01
