PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000012779.6.wgt.RDat	ALOX5	10	4.59e+07	4.59e+07	0.088385	rs11239274	-3.48	rs4949005	 2.44e-03	 -3.55	 0.06073	348	348	blup	-4.60e-04	3.63e-01	-1.24801	2.12e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000014919.8.wgt.RDat	COX15	10	1.01e+08	1.01e+08	0.052964	rs17112219	 2.47	rs7898374	-1.35e-03	 -3.13	-0.61306	449	  1	lasso	 2.52e-03	1.66e-01	 0.61306	5.40e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.013617	rs545572	-3.87	rs8624	 1.73e-02	  3.72	-0.54839	444	  1	lasso	 6.19e-03	7.07e-02	-0.54839	5.83e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000023839.6.wgt.RDat	ABCC2	10	1.02e+08	1.02e+08	0.075435	rs17112219	 2.47	rs11593328	 9.88e-03	 -4.42	 0.81188	452	  9	enet	 3.92e-02	7.72e-05	 0.52727	5.98e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.080473	rs4748330	 3.38	rs7913144	-1.73e-03	 -3.50	 0.55392	659	 13	enet	 3.87e-03	1.20e-01	-0.17536	8.61e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000026103.15.wgt.RDat	FAS	10	9.08e+07	9.08e+07	0.157982	rs1372325	 2.54	rs3740286	 1.26e-01	  6.91	 0.56039	572	  1	lasso	 1.23e-01	2.82e-12	 0.56039	5.75e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000035403.12.wgt.RDat	VCL	10	7.58e+07	7.59e+07	0.115606	rs4746172	-2.55	rs10824106	 4.43e-02	 -4.79	 2.14430	242	 17	enet	 3.96e-02	7.16e-05	-1.35892	1.74e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000042286.10.wgt.RDat	AIFM2	10	7.19e+07	7.19e+07	0.118225	rs12412099	-3.73	rs10999211	 4.71e-03	 -3.87	 1.90991	728	728	blup	 1.05e-02	2.73e-02	-2.23952	2.51e-02
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000043591.4.wgt.RDat	ADRB1	10	1.16e+08	1.16e+08	0.046190	rs2475239	 2.71	rs7915120	 4.07e-02	  4.13	-0.36364	561	  3	lasso	 2.14e-02	2.86e-03	-0.44260	6.58e-01
Whole_Blood	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Whole_Blood/Whole_Blood.ENSG00000047056.10.wgt.RDat	WDR37	10	1.10e+06	1.18e+06	0.089507	rs7084148	 3.58	rs10508204	 5.79e-02	  4.89	 0.85859	517	  2	lasso	 4.75e-02	1.45e-05	 0.35989	7.19e-01
