PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000012779.6.wgt.RDat	ALOX5	10	4.59e+07	4.59e+07	0.09021	rs7079700	-2.950	rs2282350	 0.011127	-3.32	-1.136557	348	348	blup	 4.96e-03	2.17e-01	 0.15134	0.879707
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000014919.8.wgt.RDat	COX15	10	1.01e+08	1.01e+08	0.02481	rs7091871	-2.512	rs7922447	 0.004265	 3.37	 0.259997	449	449	blup	 6.94e-03	1.87e-01	-0.25029	0.802362
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.12262	rs2246253	-3.427	rs2277205	 0.005726	-3.23	-0.190857	444	  2	lasso	-6.20e-03	5.68e-01	-0.04588	0.963405
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000023839.6.wgt.RDat	ABCC2	10	1.02e+08	1.02e+08	0.13928	rs7091871	-2.512	rs1118001	 0.026221	-4.51	-1.126484	452	  2	lasso	 5.34e-03	2.11e-01	 1.13928	0.254586
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.25960	rs7072049	 2.398	rs1838428	-0.006541	 3.06	 1.229908	658	  9	lasso	-7.05e-03	6.28e-01	 1.70572	0.088059
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000026103.15.wgt.RDat	FAS	10	9.08e+07	9.08e+07	0.50339	rs1214565	 2.777	rs3740286	 0.307668	-6.05	-1.541467	570	  5	lasso	 2.81e-01	1.54e-09	 1.69571	0.089941
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000035403.12.wgt.RDat	VCL	10	7.58e+07	7.59e+07	0.03204	rs2675661	-2.535	rs9664184	 0.008383	-2.32	-1.328073	241	 16	enet	 1.09e-03	2.92e-01	 0.17773	0.858932
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000042286.10.wgt.RDat	AIFM2	10	7.19e+07	7.19e+07	0.22812	rs1227759	 3.762	rs4746965	 0.028329	-3.82	-2.253918	728	728	blup	 6.73e-03	1.90e-01	 3.19281	0.001409
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000043591.4.wgt.RDat	ADRB1	10	1.16e+08	1.16e+08	0.28588	rs4918859	-2.929	rs17090911	 0.035681	-3.98	-1.999093	561	  5	lasso	 5.63e-02	7.22e-03	 1.43716	0.150673
Brain_Hippocampus	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Hippocampus/Brain_Hippocampus.ENSG00000047056.10.wgt.RDat	WDR37	10	1.10e+06	1.18e+06	0.03316	rs4880858	-3.382	rs1500966	 0.005231	-2.70	-0.531028	517	517	blup	 3.03e-03	2.51e-01	-0.90914	0.363278
