PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000012779.6.wgt.RDat	ALOX5	10	4.59e+07	4.59e+07	0.347737	rs7079700	-2.95	rs7906533	 1.32e-01	 5.18	 0.50909	348	348	blup	 7.02e-02	1.11e-03	 0.57293	0.566694
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000014919.8.wgt.RDat	COX15	10	1.01e+08	1.01e+08	0.108041	rs7091871	-2.51	rs4919360	-3.98e-03	 3.28	 0.75054	449	 16	enet	 8.24e-04	2.94e-01	 2.03166	0.042188
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.153472	rs2246253	-3.43	rs2277205	 6.38e-02	-3.61	-0.19086	444	  2	lasso	 6.76e-02	1.35e-03	 0.61148	0.540884
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000023839.6.wgt.RDat	ABCC2	10	1.02e+08	1.02e+08	0.111879	rs7091871	-2.51	rs1057490	 2.07e-02	 3.33	 0.99380	452	  3	lasso	 1.18e-03	2.84e-01	 1.00575	0.314536
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.198008	rs7072049	 2.40	rs1707281	 1.34e-01	 4.96	-1.32657	658	  3	lasso	 1.21e-01	2.04e-05	-1.15971	0.246168
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000026103.15.wgt.RDat	FAS	10	9.08e+07	9.08e+07	0.561908	rs1214565	 2.78	rs1926196	 3.95e-01	 7.39	 0.99431	571	 11	enet	 4.03e-01	8.63e-17	 1.14571	0.251913
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000035403.12.wgt.RDat	VCL	10	7.58e+07	7.59e+07	0.168447	rs2675661	-2.53	rs2131957	 1.59e-01	-5.06	-1.04387	242	  2	lasso	 1.48e-01	2.43e-06	 1.04365	0.296647
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000042286.10.wgt.RDat	AIFM2	10	7.19e+07	7.19e+07	0.564444	rs1227759	 3.76	rs6480442	 4.38e-01	-7.75	-2.15674	728	  7	lasso	 4.35e-01	2.14e-18	 2.07387	0.038092
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000043591.4.wgt.RDat	ADRB1	10	1.16e+08	1.16e+08	0.135806	rs4918859	-2.93	rs180935	 3.23e-02	 3.82	-1.59957	561	  6	lasso	 3.21e-02	2.11e-02	-0.92328	0.355859
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000047056.10.wgt.RDat	WDR37	10	1.10e+06	1.18e+06	0.125760	rs4880858	-3.38	rs4880765	-7.23e-03	-3.24	-0.19692	517	  3	lasso	-5.45e-03	6.02e-01	 0.12554	0.900098
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000048740.13.wgt.RDat	CELF2	10	1.10e+07	1.14e+07	0.019553	rs3740204	-3.20	rs7899913	-5.93e-03	-3.38	 1.41330	669	669	blup	 2.11e-02	5.09e-02	 0.24977	0.802763
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000052749.9.wgt.RDat	RRP12	10	9.91e+07	9.92e+07	0.289639	rs10882891	 3.09	rs9888026	 1.53e-01	 5.15	-2.28556	486	 11	lasso	 1.31e-01	9.83e-06	-2.50322	0.012307
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000055950.12.wgt.RDat	MRPL43	10	1.03e+08	1.03e+08	0.137694	rs2476968	 3.25	rs2295716	 1.17e-01	 4.20	 1.13644	420	  5	lasso	 8.67e-02	3.10e-04	 1.14013	0.254233
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000057608.12.wgt.RDat	GDI2	10	5.81e+06	5.88e+06	0.202535	rs9663421	-2.99	rs11599388	 1.40e-01	-4.46	-0.46603	700	  2	lasso	 1.04e-01	8.09e-05	 0.47205	0.636889
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000059573.4.wgt.RDat	ALDH18A1	10	9.74e+07	9.74e+07	0.099713	rs12263592	-3.00	rs7101278	-5.88e-03	-3.18	-0.18172	511	511	blup	 8.07e-03	1.51e-01	-0.18024	0.856962
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000059915.12.wgt.RDat	PSD	10	1.04e+08	1.04e+08	0.012733	rs4919641	-2.22	rs11191251	-7.51e-03	-2.87	-0.93728	342	  2	lasso	-3.43e-03	4.63e-01	 0.93716	0.348675
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000065154.7.wgt.RDat	OAT	10	1.26e+08	1.26e+08	0.137579	rs1473610	 4.20	rs4590807	-7.22e-03	-3.19	 0.17817	476	476	blup	 3.66e-02	1.49e-02	-0.08106	0.935394
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000065613.9.wgt.RDat	SLK	10	1.06e+08	1.06e+08	0.351992	rs11191835	-3.68	rs11814244	 6.62e-02	 4.32	-1.63501	422	  6	lasso	 7.28e-02	9.05e-04	-1.65346	0.098237
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000065621.10.wgt.RDat	GSTO2	10	1.06e+08	1.06e+08	0.423265	rs11191835	-3.68	rs156697	 3.39e-01	-6.95	-1.89972	426	  8	lasso	 3.20e-01	5.48e-13	 1.73230	0.083220
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000065665.16.wgt.RDat	SEC61A2	10	1.22e+07	1.22e+07	0.333505	rs11257238	 5.72	rs2399786	-3.46e-03	-3.69	 1.59861	527	527	blup	 1.11e-01	4.53e-05	-0.02335	0.981369
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000065809.9.wgt.RDat	FAM107B	10	1.46e+07	1.48e+07	0.037918	NA	   NA	NA	       NA	   NA	      NA	  0	  0	enet	 1.93e-04	3.13e-01	      NA	      NA
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000066468.16.wgt.RDat	FGFR2	10	1.23e+08	1.23e+08	0.196793	rs2114691	 3.62	rs11199764	-7.52e-03	-3.26	-0.99598	589	589	blup	 3.74e-03	2.22e-01	 1.87883	0.060268
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000067082.10.wgt.RDat	KLF6	10	3.82e+06	3.83e+06	0.057064	NA	   NA	NA	       NA	   NA	      NA	  0	  0	lasso	 6.73e-03	1.70e-01	      NA	      NA
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000068383.14.wgt.RDat	INPP5A	10	1.34e+08	1.35e+08	0.007755	rs7909396	 2.69	rs4880264	-1.46e-03	-2.95	-0.34597	479	  1	lasso	 6.26e-03	1.77e-01	 0.34597	0.729363
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000072401.10.wgt.RDat	UBE2D1	10	6.01e+07	6.01e+07	0.032427	NA	   NA	NA	       NA	   NA	      NA	  0	  0	enet	 1.55e-03	2.74e-01	      NA	      NA
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000075073.10.wgt.RDat	TACR2	10	7.12e+07	7.12e+07	0.057301	rs1227759	 3.76	rs7095140	 9.91e-03	-3.01	 1.08761	699	699	blup	 6.00e-03	1.81e-01	-0.33107	0.740594
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000075290.7.wgt.RDat	WNT8B	10	1.02e+08	1.02e+08	0.112173	rs2476968	 3.25	rs2489051	 6.90e-03	 4.13	 0.41176	418	418	blup	 2.70e-02	3.16e-02	-0.03681	0.970640
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000075407.13.wgt.RDat	ZNF37A	10	3.84e+07	3.84e+07	0.068914	rs17577398	-1.39	rs1208645	 2.84e-03	 3.46	 0.33654	237	237	blup	 8.81e-03	1.41e-01	 0.50525	0.613381
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000075826.12.wgt.RDat	SEC31B	10	1.02e+08	1.02e+08	0.279466	rs2476968	 3.25	rs11190555	 2.30e-01	-6.16	 0.55824	431	  7	lasso	 2.35e-01	1.56e-09	-0.56157	0.574409
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000076685.14.wgt.RDat	NT5C2	10	1.05e+08	1.05e+08	0.084546	rs2232659	 2.88	rs12413409	 1.67e-02	 3.33	 0.19700	349	 15	enet	 2.51e-03	2.50e-01	-0.02373	0.981071
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000077147.10.wgt.RDat	TM9SF3	10	9.83e+07	9.83e+07	0.092138	rs10748668	-3.65	rs10748687	-7.45e-03	 3.60	-1.34296	471	 15	enet	-2.01e-03	3.94e-01	-0.29257	0.769848
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000077943.7.wgt.RDat	ITGA8	10	1.56e+07	1.58e+07	0.014472	rs6602051	 3.59	rs7910668	 3.60e-02	 3.26	 0.01787	472	  1	lasso	 2.60e-02	3.41e-02	 0.01787	0.985746
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000078114.14.wgt.RDat	NEBL	10	2.11e+07	2.15e+07	0.141759	rs7074040	-2.56	rs2038914	 7.70e-02	 3.79	 0.35832	421	  1	lasso	 2.96e-02	2.57e-02	 0.35832	0.720104
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000079332.10.wgt.RDat	SAR1A	10	7.19e+07	7.19e+07	0.188181	rs1227759	 3.76	rs15801	 1.57e-01	 4.81	-2.66155	706	  3	lasso	 1.17e-01	2.85e-05	-2.62839	0.008579
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000086475.10.wgt.RDat	SEPHS1	10	1.34e+07	1.34e+07	0.031484	rs1541004	-2.82	rs11258522	-6.31e-03	-3.74	-0.72427	692	 22	enet	 9.38e-03	1.34e-01	 0.92234	0.356350
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095485.12.wgt.RDat	CWF19L1	10	1.02e+08	1.02e+08	0.617108	rs2489013	-3.24	rs11597086	 5.20e-01	 8.33	 0.18555	401	 34	enet	 5.21e-01	3.01e-23	 0.17604	0.860262
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095564.9.wgt.RDat	BTAF1	10	9.37e+07	9.38e+07	0.072963	rs2771268	 3.87	rs11819184	 2.22e-02	-3.20	-0.99068	314	  3	lasso	 9.30e-03	1.35e-01	 1.14794	0.250992
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095574.7.wgt.RDat	IKZF5	10	1.25e+08	1.25e+08	0.105510	NA	   NA	NA	       NA	   NA	      NA	  0	  0	enet	 2.37e-02	4.12e-02	      NA	      NA
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095587.8.wgt.RDat	TLL2	10	9.81e+07	9.83e+07	0.029702	rs10748668	-3.65	rs11598258	-6.92e-03	-2.86	-0.99468	465	  1	lasso	 9.27e-03	1.36e-01	 0.99468	0.319894
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095596.7.wgt.RDat	CYP26A1	10	9.48e+07	9.48e+07	0.297720	rs17108637	 2.87	rs7905939	-3.56e-03	-3.09	 0.35998	534	534	blup	 4.02e-02	1.13e-02	-0.22510	0.821898
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095713.9.wgt.RDat	CRTAC1	10	9.96e+07	9.98e+07	0.121583	rs10883050	-2.87	rs491267	-5.71e-03	-3.49	 0.13635	508	 10	enet	 1.77e-03	2.68e-01	-0.52799	0.597508
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095787.17.wgt.RDat	WAC	10	2.88e+07	2.89e+07	0.175617	rs332112	-3.61	rs1773881	 4.05e-02	-3.51	 0.96208	584	584	blup	 3.09e-03	2.36e-01	-0.38357	0.701294
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000095794.15.wgt.RDat	CREM	10	3.54e+07	3.55e+07	0.040385	NA	   NA	NA	       NA	   NA	      NA	  0	  0	enet	 2.32e-02	4.30e-02	      NA	      NA
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000096717.7.wgt.RDat	SIRT1	10	6.96e+07	6.97e+07	0.076856	rs10997948	 3.05	rs7084028	-5.75e-03	-2.70	 0.25152	364	  3	lasso	 1.37e-03	2.78e-01	-0.29665	0.766732
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000099194.5.wgt.RDat	SCD	10	1.02e+08	1.02e+08	0.089485	rs2476968	 3.25	rs1393492	-1.66e-03	-3.15	 1.64163	413	 21	enet	 9.60e-03	1.32e-01	-0.03463	0.972377
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000099251.10.wgt.RDat	HSD17B7P2	10	3.86e+07	3.87e+07	0.051089	rs9732107	-1.23	rs1740744	-7.45e-03	 2.16	-0.73164	137	 19	enet	-4.40e-03	5.22e-01	-0.59980	0.548640
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000099256.14.wgt.RDat	PRTFDC1	10	2.51e+07	2.52e+07	0.001012	NA	   NA	NA	       NA	   NA	      NA	  0	  0	lasso	 1.31e-02	9.77e-02	      NA	      NA
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000099282.5.wgt.RDat	TSPAN15	10	7.12e+07	7.13e+07	0.188926	rs1227759	 3.76	rs10998845	 1.64e-02	-4.11	-0.15807	723	  7	lasso	-9.45e-04	3.52e-01	 0.27459	0.783633
Brain_Cortex	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Cortex/Brain_Cortex.ENSG00000099284.9.wgt.RDat	H2AFY2	10	7.18e+07	7.19e+07	0.015278	NA	   NA	NA	       NA	   NA	      NA	  0	  0	lasso	 2.23e-02	4.62e-02	      NA	      NA
