PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000014919.8.wgt.RDat	COX15	10	1.01e+08	1.01e+08	0.095645	rs7091871	-2.512	rs4148394	 0.000985	-2.99	-1.29656	449	  2	lasso	 0.016369	1.23e-01	 1.29699	0.194635
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000015171.14.wgt.RDat	ZMYND11	10	1.80e+05	3.01e+05	0.100442	rs12261505	 2.246	rs10903844	-0.010363	-2.75	 0.44828	189	189	blup	-0.001515	3.54e-01	 0.53556	0.592264
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000019995.6.wgt.RDat	ZRANB1	10	1.27e+08	1.27e+08	0.168753	rs1473610	 4.196	rs7083336	-0.007738	-3.35	-2.22492	538	  7	enet	 0.029810	5.97e-02	 2.07114	0.038345
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.353947	rs2246253	-3.427	rs4256909	 0.014339	-4.14	-0.54390	444	  4	lasso	 0.063945	1.04e-02	 0.08722	0.930493
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000023839.6.wgt.RDat	ABCC2	10	1.02e+08	1.02e+08	0.130681	rs7091871	-2.512	rs11596177	 0.041761	-2.46	-1.18139	452	452	blup	 0.012151	1.55e-01	 1.50511	0.132295
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.230650	rs7072049	 2.398	rs11254468	-0.007973	-3.37	-0.41033	658	 24	enet	 0.067434	8.68e-03	-0.37031	0.711151
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000026103.15.wgt.RDat	FAS	10	9.08e+07	9.08e+07	0.557592	rs1214565	 2.777	rs7097572	 0.393853	 6.07	 1.38694	569	 19	enet	 0.417996	8.11e-12	 1.56109	0.118503
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000035403.12.wgt.RDat	VCL	10	7.58e+07	7.59e+07	0.058687	rs2675661	-2.535	rs2140935	-0.010212	-3.07	 1.47265	239	  4	lasso	 0.000725	3.06e-01	-1.06684	0.286042
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000042286.10.wgt.RDat	AIFM2	10	7.19e+07	7.19e+07	0.135845	rs1227759	 3.762	rs10999170	 0.016931	 3.28	 0.24498	728	728	blup	-0.006814	5.20e-01	 2.49920	0.012448
Brain_Amygdala	/dcl01/chatterj/data/diptavo/fusion_twas-master/WEIGHTS/WEIGHTS//Brain_Amygdala/Brain_Amygdala.ENSG00000047056.10.wgt.RDat	WDR37	10	1.10e+06	1.18e+06	0.193594	rs4880858	-3.382	rs11250242	 0.006446	 3.57	-0.04067	517	  3	enet	 0.028324	6.46e-02	 0.35657	0.721413
